5,1.0,391334806.31,3889417319.267523
4,391334807.31,420623198.48,2021348296.0527227
7,420623199.48,480036377.82000005,1078954198.302667
4,480036378.82000005,491258314.0400001,2021348296.0527227
3,491258315.0400001,522917753.87000006,1647012626.1522777
2,522917754.87000006,551702192.5200001,3036024722.4208217
1,551702193.5200001,1283029178.6399999,4437195218.808543
2,1283029179.6399999,1307590335.7199998,3036024722.4208217
3,1307590336.7199998,1345259469.6799998,1647012626.1522777
8,1345259470.6799998,1391757066.1,3021399624.513291
6,1391757067.1,2001828595.4799998,4889939584.3099985
2,2001828596.4799998,2046303766.1299999,3036024722.4208217
3,2046303767.1299999,2083404585.22,1647012626.1522777
4,2083404586.22,2096019356.230101,2021348296.0527227
